chrom	start	end	CTCF	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K9me3	H4K20me1	group	probality
chr1	201316354	201616354	18.1533	8.25954	15.7391	3.5206	7.97971	6.03226	4.93755	6.72803	3.82303	4.5453	Hub	0.904743803519064
chr1	8370937	8670937	4.79886	18.6831	1.72908	10.2292	14.4604	14.6775	7.00852	12.6025	2.09736	12.7089	Hub	0.943228377999122
chr1	8253385	8553385	7.68908	20.1066	2.46207	13.8596	14.6785	12.6793	7.46382	13.2332	2.57957	9.73715	Hub	0.989025626707674
chr1	33528911	33828911	10.2642	12.5074	3.40309	8.83811	10.4387	9.03301	7.00735	9.8637	3.2059	7.34108	Hub	0.954619915997992
chr1	109007664	109307664	5.42901	6.4986	3.26787	6.62341	4.74068	6.90094	10.2003	6.49289	2.10657	4.3611	nonHub	0.493111812579796
chr1	3923242	4223242	0.787691	0.346213	0.952032	1.23905	0.437692	0.500893	0.307799	0.661929	11.0356	1.49074	nonHub	0.00273478948176309
chr1	1839619	2139619	14.0754	6.46798	10.8615	3.01129	6.70735	5.32286	4.4625	6.30532	4.06793	4.06131	Hub	0.910133849923834
chr1	3965277	4265277	0.751336	0.329449	0.943466	1.17062	0.428049	0.510126	0.305476	0.668725	10.9489	1.53996	nonHub	0.00252895663309838
chr1	11328337	11628337	3.99299	0.713563	7.87078	1.64173	1.17379	0.969471	0.692256	1.64055	2.79575	3.61536	nonHub	0.135315239621938
chr1	12455174	12755174	5.74409	9.14148	5.92083	5.75599	9.10206	6.22154	4.36145	7.462	4.89961	4.33723	Hub	0.506705647739959
chr1	9167251	9467251	9.87644	10.6575	5.16031	7.31257	15.6214	10.8042	8.89247	9.97651	2.88949	11.2048	Hub	0.989034242005568
chr1	15629104	15929104	5.2533	6.84627	3.53708	9.86071	5.93697	6.62395	9.4558	7.14394	2.61262	6.70496	Hub	0.837761514283058
chr1	20948873	21248873	1.26637	5.01098	1.38828	10.9541	6.03501	4.98816	4.61582	4.67836	1.92723	7.91829	Hub	0.643798220006804
chr1	21799455	22099455	4.73827	5.30179	7.12984	14.9363	5.92839	4.42263	5.36499	5.41776	2.8158	8.62898	Hub	0.912335650391085
chr1	20777800	21077800	8.51919	9.44833	2.62176	12.2346	7.91756	8.18818	11.0773	8.79809	2.39698	6.34328	Hub	0.817299953502178
chr1	22992788	23292788	7.77997	3.32364	6.19066	10.4966	6.34091	3.47778	3.70868	4.86457	3.3056	8.25462	Hub	0.85016922461685
chr1	22008300	22308300	5.89557	10.3908	3.76346	14.1524	10.3691	7.20794	7.84248	9.58099	2.51726	14.3153	Hub	0.850671222071301
chr1	27227465	27527465	15.154	9.68303	5.35854	6.2669	9.04742	7.3172	6.05724	8.62275	3.1696	6.00397	Hub	0.853004305721048
chr1	28290555	28590555	4.55043	10.3842	3.50037	8.29061	8.48062	8.22819	12.4548	9.83516	3.05474	7.60806	Hub	0.861336992087426
chr1	29069006	29369006	6.10158	3.8754	3.69616	5.56262	4.56925	4.02176	3.93518	4.60089	2.29403	5.0181	Hub	0.592171601898543
chr1	40859827	41159827	8.23441	4.26388	8.4398	5.21804	5.90322	5.75142	6.01775	5.34844	3.36845	4.90027	Hub	0.784425932350556
chr1	39760082	40060082	10.755	2.82728	14.2156	7.89509	5.10391	5.46751	6.03401	5.32534	3.75259	6.25827	Hub	0.812287533645151
chr1	39667430	39967430	9.51895	4.10353	12.3611	12.3898	6.12286	5.35363	4.62859	5.26961	3.44268	7.06143	Hub	0.783745935797035
chr1	39752682	40052682	9.62195	2.87612	14.2548	7.91897	5.21159	5.67294	6.36853	5.42864	3.74067	6.23291	Hub	0.838244945771902
chr1	45048074	45348074	5.69562	5.32002	3.49547	6.51518	5.27963	6.41928	6.60315	6.12591	2.66951	4.27459	Hub	0.732290791958107
chr1	46130633	46430633	4.88369	5.2566	2.55996	5.65015	5.56571	5.55984	4.3417	5.16087	2.31408	4.36184	Hub	0.593978328948424
chr1	53194375	53494375	4.05964	14.8966	2.86466	8.2731	11.958	8.86835	9.07483	11.0652	3.16581	4.24775	Hub	0.927857423411934
chr1	56393941	56693941	1.80563	3.3302	4.33982	2.54496	4.94158	2.70375	0.699225	2.77412	2.8819	3.31333	nonHub	0.406526129461563
chr1	55516443	55816443	5.2533	13.3653	4.22235	2.64284	8.62741	4.00099	0.944303	6.28901	3.88696	2.6884	Hub	0.868893455762948
chr1	54520514	54820514	6.60449	10.1881	6.5339	7.76458	12.3989	7.91811	5.0839	8.7179	2.96371	7.8452	Hub	0.883064693286162
chr1	56500221	56800221	2.3449	4.37176	3.87788	10.756	6.49841	3.45855	1.12201	3.60459	2.68522	7.22848	Hub	0.64377432810128
chr1	63794005	64094005	6.40454	4.35135	5.6094	4.31799	5.82607	5.14974	5.43816	5.17039	2.74265	5.22914	Hub	0.727711419513082
chr1	63935452	64235452	4.00511	3.96432	6.63057	2.93728	5.88714	4.71194	2.87705	4.03138	2.71123	5.78919	Hub	0.604364054010813
chr1	59647591	59947591	2.12071	6.0744	2.95154	2.62294	6.22465	3.84172	0.968694	3.80168	3.13926	2.83009	nonHub	0.413663038977098
chr1	77478991	77778991	3.3689	8.66625	1.64525	4.31958	7.26076	6.52161	4.0641	5.45174	2.75783	2.66304	nonHub	0.489468759135623
chr1	84686339	84986339	4.55043	8.26829	2.52876	4.61084	5.47624	8.18741	10.8357	7.55442	2.35526	3.66234	Hub	0.531707513873638
chr1	94305189	94605189	3.45372	6.01827	5.43135	3.23252	6.987	6.01072	4.66228	4.57506	2.71285	3.57732	Hub	0.745665975420342
chr1	93030599	93330599	6.70144	6.58606	4.90639	4.08403	5.69535	7.20255	9.30016	6.95909	2.93771	5.6035	Hub	0.633897701573436
chr1	109840275	110140275	15.36	9.82734	5.58064	6.56532	10.5475	10.1379	12.2829	10.6249	2.78166	7.42908	Hub	0.973901628182373
chr1	109975934	110275934	10.6157	8.86378	5.37935	6.45709	11.7882	7.85425	7.78208	8.41208	3.44322	4.14931	Hub	0.951509381506138
chr1	111900132	112200132	5.76833	6.41769	4.65798	4.16838	7.67273	7.65959	7.21062	6.76473	2.29078	5.99949	Hub	0.867264205122502
chr1	148811908	149111908	2.94475	7.85284	2.62054	9.92835	5.42588	6.74013	10.4779	7.23501	2.39427	6.34477	nonHub	0.379606242826682
chr1	149942139	150242139	8.14958	4.42132	10.353	4.19464	4.73532	6.79322	8.5266	6.36105	3.00543	4.77648	Hub	0.694408221352185
chr1	143415622	143715622	2.10859	7.93811	3.98923	11.6664	7.85274	10.6011	9.80658	7.62918	2.89328	5.14338	nonHub	0.235740623091367
chr1	152914278	153214278	8.8282	9.55547	15.4026	4.76364	5.18962	8.54827	11.1621	9.91807	3.73796	5.1926	Hub	0.779939644586664
chr1	155059523	155359523	13.93	4.54013	11.2408	7.73912	6.53806	5.62601	4.00487	6.16804	2.63592	6.54314	Hub	0.793847634818817
chr1	153947487	154247487	5.72591	17.1029	1.98727	20.627	9.56654	12.0714	14.9439	14.6956	2.25015	9.02049	Hub	0.582714195260664
chr1	158124482	158424482	15.8932	6.39583	12.292	4.00126	6.88842	7.19717	8.43368	7.04744	2.79575	4.63926	Hub	0.87350887377327
