chrom	start	end	group	CTCF	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K9me3	H4K20me1
chr1	58710000	58810000	Boundary	7.52548	3.37831	3.7757	2.39694	1.62326	2.9061	4.70758	4.05721	2.18784	2.23723
chr1	159350000	159450000	Boundary	16.3961	22.6336	2.17144	13.5938	11.1153	23.0803	44.5634	26.1659	2.0448	6.72286
chr1	15670000	15770000	Boundary	4.63526	5.44684	2.76799	11.1252	3.396	5.54214	10.9518	6.57716	2.30812	4.92637
chr1	29350000	29450000	Boundary	19.0864	12.1553	2.84875	12.6006	10.8534	11.8622	18.0184	13.0116	1.97816	11.4837
chr1	39750000	39850000	Boundary	11.1246	4.14799	7.55507	13.3049	5.47249	8.15971	10.3734	7.44569	3.02494	9.1413
chr1	48190000	48290000	Boundary	5.70773	0.522599	5.47908	0.940631	1.34843	1.35264	0.836283	1.23551	2.5178	2.48779
chr1	71250000	71350000	Boundary	5.05334	4.07365	4.31535	4.5623	3.35582	5.50521	7.86454	4.9869	1.68395	3.62207
chr1	110070000	110170000	Boundary	17.0323	9.42646	7.06865	3.65509	15.5046	6.96172	5.47765	8.38761	3.44105	3.84355
chr1	175070000	175170000	Boundary	10.7247	0.25802	3.01579	0.632658	0.65252	0.847133	0.320575	1.11318	1.77173	2.11642
chr1	210670000	210770000	Boundary	11.9608	5.31564	6.92732	3.39487	9.61422	5.73604	4.41488	5.75348	2.57307	5.07403
chr1	213810000	213910000	Boundary	2.03588	6.95997	2.12188	7.36987	6.49788	5.40134	1.22306	3.62906	1.99766	3.95765
chr1	1790000	1890000	Boundary	17.7594	6.3674	8.41227	5.45996	7.3754	7.26872	12.9972	8.42023	3.23299	19.1037
chr1	3630000	3730000	Boundary	8.398	3.09842	4.91924	9.95541	5.00158	6.13075	9.91344	6.07561	2.33575	4.93085
chr1	8830000	8930000	Boundary	12.906	15.6933	5.99854	16.4109	11.6666	10.9527	12.3735	14.7609	3.73851	14.6449
chr1	10350000	10450000	Boundary	11.979	12.6801	2.1953	15.9716	7.32558	10.7519	14.6593	11.3316	2.48204	5.94878
chr1	11990000	12090000	Boundary	8.30712	4.86083	9.48973	7.30302	7.40594	4.90506	4.93755	5.56999	4.2879	4.45208
chr1	15270000	15370000	Boundary	18.5592	10.1393	8.80507	4.02991	7.20343	8.53365	9.60332	7.71073	3.40367	4.91295
chr1	17110000	17210000	Boundary	8.97968	4.59844	5.95815	12.8012	7.85113	6.73321	8.10497	9.45594	2.40402	7.69382
chr1	21350000	21450000	Boundary	11.9971	7.40167	2.97724	16.313	8.41365	7.46262	9.42909	8.27752	2.73724	8.76545
chr1	22190000	22290000	Boundary	3.10835	8.07514	4.66226	7.07383	7.3304	9.51697	15.8754	10.194	2.90303	23.822
chr1	23110000	23210000	Boundary	12.9606	1.51095	14.2034	4.02514	3.3076	2.0105	0.832798	2.62189	6.07588	4.77424
chr1	23910000	24010000	Boundary	13.6695	11.5606	1.6116	15.7042	8.17739	13.7665	25.1756	14.4265	1.89526	10.515
chr1	25390000	25490000	Boundary	6.90745	11.976	8.21954	8.56356	6.67949	15.0822	31.4512	17.0443	3.17773	7.49918
chr1	27070000	27170000	Boundary	8.28894	8.2129	4.2713	14.2145	6.4802	9.4685	18.4366	11.8291	2.67872	6.60205
chr1	27950000	28050000	Boundary	1.50873	8.17791	1.6685	12.7964	5.55124	7.77192	13.7847	9.56196	2.10819	6.76313
chr1	28790000	28890000	Boundary	6.58025	13.4564	3.12592	8.98136	7.10218	12.557	17.0218	15.556	2.69497	6.02709
chr1	32330000	32430000	Boundary	3.12653	14.4338	1.58958	17.0054	9.67529	11.5598	14.8161	12.7302	2.45278	12.7746
chr1	33270000	33370000	Boundary	19.4136	18.4921	3.79222	6.34568	9.99995	12.3284	16.4574	13.3378	4.17575	4.49011
chr1	34990000	35090000	Boundary	7.6709	1.14141	6.0793	3.48797	3.3976	1.98049	0.822345	2.312	2.82338	4.2731
chr1	37990000	38090000	Boundary	4.74433	5.73328	5.68099	10.4973	4.00512	4.9166	8.60326	5.56592	2.24473	6.16803
chr1	39950000	40050000	Boundary	4.45349	2.7267	13.9501	7.47253	4.47603	4.61884	6.6589	5.04398	3.54183	4.60868
chr1	40710000	40810000	Boundary	1.83593	3.68225	2.25588	6.7587	2.13596	6.74475	14.7848	6.66279	9.28125	2.83456
chr1	43370000	43470000	Boundary	6.96198	9.04818	6.06278	3.81027	5.765	7.7096	9.43606	6.97269	3.28013	3.54153
chr1	50550000	50650000	Boundary	13.5968	0.4898	5.04773	1.08387	1.10253	1.52807	0.731748	1.42308	2.56819	2.62874
chr1	51990000	52090000	Boundary	1.78139	3.49857	0.912262	13.5866	4.97104	2.76299	0.696902	2.67898	1.73109	5.10535
chr1	52870000	52970000	Boundary	5.87133	5.7464	7.55507	4.90608	6.53002	8.74601	12.1609	8.08995	3.40692	5.26195
chr1	56990000	57090000	Boundary	10.9792	3.34551	5.71953	1.52315	4.16906	2.79762	0.752655	2.70344	2.57144	2.5661
chr1	62310000	62410000	Boundary	9.6886	1.06706	3.5848	1.94333	1.65701	1.12182	0.484347	2.12035	2.11144	2.65559
chr1	62990000	63090000	Boundary	2.10859	2.93005	2.13657	2.53779	2.11185	3.34006	6.47074	4.35895	1.96515	2.57057
chr1	65230000	65330000	Boundary	5.67138	4.36009	5.86087	3.03915	3.20635	6.537	10.7114	5.66786	2.34713	3.72274
chr1	66430000	66530000	Boundary	8.63431	9.04818	3.43245	1.55419	6.96235	5.36902	1.42168	6.35697	2.27724	2.55044
chr1	67710000	67810000	Boundary	17.4504	2.31999	7.23385	2.21788	4.0662	2.88302	1.4844	3.59644	3.41829	3.39611
chr1	68650000	68750000	Boundary	4.23536	2.52116	2.34215	1.80725	2.77241	4.3857	4.93058	3.5312	1.80749	2.04259
chr1	77310000	77410000	Boundary	2.72662	0.697528	1.4464	1.95288	1.1845	0.94408	0.271792	1.27221	1.53279	2.00679
chr1	78870000	78970000	Boundary	1.94499	0.782805	2.7735	1.13878	2.13596	2.21824	0.811891	1.42716	1.90989	1.78754
chr1	84070000	84170000	Boundary	3.81727	0.997093	2.11087	2.1964	2.24043	1.71273	0.592367	1.52502	1.24834	2.21933
chr1	87270000	87370000	Boundary	2.56303	1.73617	2.12005	2.13433	3.87173	2.38674	0.637666	1.96948	1.58155	3.31333
chr1	90230000	90330000	Boundary	2.38125	2.71139	2.78451	5.08514	2.19542	3.6032	6.87843	3.61275	1.92452	3.77867
chr1	92850000	92950000	Boundary	1.03612	1.48471	1.13803	7.03802	2.44293	1.89508	0.602821	1.67589	2.71448	4.2127
chr1	97070000	97170000	Boundary	2.0177	2.00293	2.68356	1.29396	2.40597	2.01742	0.515708	1.48424	3.15172	2.14997
chr1	99950000	100050000	Boundary	3.72639	2.33092	4.22724	2.1773	3.12438	3.74631	3.2162	3.44557	2.28862	2.5482
chr1	108070000	108170000	Boundary	3.61732	0.23834	2.45778	0.611171	0.445192	0.620923	0.271792	0.950079	1.14268	1.80544
