chrom	start	end	group	CTCF	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K9me3	H4K20me1
chr1	201134123	201434123	Hub	9.5856	4.44464	10.2766	7.72639	5.97875	5.9307	9.75431	6.8123	2.82555	5.2105
chr1	201259123	201559123	Hub	15.2933	7.57149	14.0094	5.10901	7.75149	6.04227	6.06189	6.84356	3.58734	4.96813
chr1	201294123	201594123	Hub	17.1596	7.61741	15.5537	4.23125	7.16808	5.60139	4.90155	6.38415	3.77156	4.6057
chr1	201234123	201534123	Hub	15.1964	7.07295	13.1265	5.66129	7.34755	5.48136	5.70763	6.58124	3.44755	4.87715
chr1	201284123	201584123	Hub	17.1171	7.37324	15.2827	4.62676	6.97682	5.34979	4.85393	6.28085	3.68703	4.58184
chr1	201119123	201419123	Hub	9.49471	3.91548	9.80972	8.17362	5.40016	6.23385	11.1795	6.99171	2.69606	5.27314
chr1	201084123	201384123	Hub	8.89485	3.71796	8.93662	8.25798	4.57835	6.64703	12.3479	7.04472	2.58715	5.28731
chr1	201114123	201414123	Hub	9.44018	3.85062	9.70387	8.30175	5.3257	6.21385	11.1888	6.94822	2.68793	5.29626
chr1	201304123	201604123	Hub	17.2807	7.85356	15.7777	3.90736	7.65773	5.81836	4.91548	6.53502	3.80027	4.60868
chr1	201154123	201454123	Hub	11.2458	7.52047	10.9826	6.9282	7.13754	6.4716	9.81006	7.46879	2.99731	5.25748
chr1	201184123	201484123	Hub	10.9004	6.92717	12.5857	6.1515	7.00468	5.903	7.99347	6.71444	3.32456	5.2105
chr1	201249123	201549123	Hub	15.2752	7.51027	13.5059	5.84751	7.53773	5.903	6.04795	6.78783	3.50011	5.02257
chr1	201214123	201514123	Hub	14.9237	6.73621	13.0182	5.63662	6.88414	5.0474	5.46604	6.19794	3.5402	4.79065
chr1	201309123	201609123	Hub	18.1775	7.97237	15.8645	3.74502	7.81042	5.89454	4.93639	6.63696	3.81436	4.60421
chr1	201324123	201624123	Hub	17.8867	8.30473	15.6816	3.51185	8.01507	6.0415	4.94452	6.73075	3.8615	4.55872
chr1	201124123	201424123	Hub	9.53107	3.95995	10.0587	8.1394	5.45749	6.16614	11.09	6.99443	2.73019	5.22914
chr1	201224123	201524123	Hub	15.1055	6.97819	13.0029	5.61912	7.12415	5.34055	5.65188	6.45347	3.47085	4.82495
